epoch,itr,loss,maskA,maskB,time_ms
1,169,0.04570,33.00000,31.00000,3680
1,170,0.04552,32.00000,32.00000,1140
1,171,0.04535,33.00000,31.00000,1150
1,172,0.04517,35.00000,29.00000,1161
1,173,0.04501,27.00000,37.00000,1062
1,174,0.04483,28.00000,36.00000,1062
1,175,0.04466,34.00000,30.00000,1163
1,176,0.04450,31.00000,33.00000,1146
1,177,0.04434,29.00000,35.00000,3657
1,178,0.04418,34.00000,30.00000,1138
1,179,0.04402,34.00000,30.00000,1165
1,180,0.04386,37.00000,27.00000,3722
1,181,0.04370,36.00000,28.00000,1154
1,182,0.04354,33.00000,31.00000,1157
1,183,0.04339,28.00000,36.00000,1063
1,184,0.04323,31.00000,33.00000,1144
1,185,0.04307,33.00000,31.00000,1441
1,186,0.04292,26.00000,38.00000,3256
1,187,0.04277,31.00000,33.00000,1130
1,188,0.04261,37.00000,27.00000,1190
1,189,0.04247,35.00000,29.00000,1172
1,190,0.04232,28.00000,36.00000,1062
1,191,0.04217,30.00000,34.00000,3629
1,192,0.04203,27.00000,37.00000,1043
1,193,0.04189,26.00000,38.00000,1021
1,194,0.04175,29.00000,35.00000,2839
1,195,0.04160,36.00000,28.00000,1934
1,196,0.04146,31.00000,33.00000,1142
1,197,0.04133,36.00000,28.00000,1158
1,198,0.04118,37.00000,27.00000,1189
1,199,0.04105,30.00000,34.00000,1085
1,200,0.04092,30.00000,34.00000,3597
1,201,0.04078,36.00000,28.00000,1148
1,202,0.04065,33.00000,31.00000,1149
1,203,0.04052,37.00000,27.00000,1188
1,204,0.04039,35.00000,29.00000,1169
1,205,0.04026,27.00000,37.00000,2805
1,206,0.04014,33.00000,31.00000,1936
1,207,0.04001,28.00000,36.00000,1056
1,208,0.03988,33.00000,31.00000,3074
1,209,0.03976,27.00000,37.00000,1641
1,210,0.03964,30.00000,34.00000,1092
1,211,0.03952,38.00000,26.00000,1224
1,212,0.03939,30.00000,34.00000,1088
1,213,0.03927,26.00000,38.00000,1024
1,214,0.03916,33.00000,31.00000,3681
1,215,0.03904,33.00000,31.00000,1151
1,216,0.03892,36.00000,28.00000,1153
1,217,0.03881,31.00000,33.00000,3657
1,218,0.03870,31.00000,33.00000,1126
1,219,0.03858,32.00000,32.00000,1139
1,220,0.03847,35.00000,29.00000,1154
1,221,0.03835,26.00000,38.00000,1018
1,222,0.03824,29.00000,35.00000,1540
1,223,0.03813,28.00000,36.00000,3121
1,224,0.03802,35.00000,29.00000,1151
1,225,0.03791,28.00000,36.00000,1052
1,226,0.03780,37.00000,27.00000,1193
1,227,0.03769,30.00000,34.00000,1084
1,228,0.03758,32.00000,32.00000,3671
1,229,0.03747,27.00000,37.00000,1046
1,230,0.03737,31.00000,33.00000,1137
1,231,0.03726,37.00000,27.00000,1184
1,232,0.03715,28.00000,36.00000,1062
1,233,0.03704,35.00000,29.00000,1166
1,234,0.03694,26.00000,38.00000,3522
1,235,0.03684,35.00000,29.00000,1150
1,236,0.03674,26.00000,38.00000,1013
1,237,0.03665,27.00000,37.00000,1058
1,238,0.03655,29.00000,35.00000,1103
1,239,0.03645,34.00000,30.00000,1438
1,240,0.03635,36.00000,28.00000,3383
1,241,0.03625,32.00000,32.00000,1140
1,242,0.03616,34.00000,30.00000,1163
1,243,0.03606,36.00000,28.00000,1159
1,244,0.03597,33.00000,31.00000,1162
1,245,0.03586,36.00000,28.00000,3678
1,246,0.03577,28.00000,36.00000,1057
1,247,0.03568,28.00000,36.00000,1058
1,248,0.03559,36.00000,28.00000,3683
1,249,0.03549,34.00000,30.00000,1156
1,250,0.03541,25.00000,39.00000,1003
1,251,0.03532,35.00000,29.00000,3696
1,252,0.03522,33.00000,31.00000,1151
1,253,0.03513,37.00000,27.00000,1184
1,254,0.03505,37.00000,27.00000,1187
1,255,0.03496,28.00000,36.00000,1062
1,256,0.03487,29.00000,35.00000,1590
1,257,0.03479,37.00000,27.00000,3211
1,258,0.03471,29.00000,35.00000,1094
1,259,0.03462,29.00000,35.00000,1104
1,260,0.03454,29.00000,35.00000,1109
1,261,0.03446,37.00000,27.00000,1194
1,262,0.03438,33.00000,31.00000,3686
1,263,0.03431,28.00000,36.00000,1050
1,264,0.03422,28.00000,36.00000,1061
1,265,0.03414,30.00000,34.00000,1081
1,266,0.03407,33.00000,31.00000,1163
1,267,0.03398,35.00000,29.00000,1164
1,268,0.03391,36.00000,28.00000,3640
1,269,0.03382,36.00000,28.00000,1143
1,270,0.03374,29.00000,35.00000,1095
1,271,0.03367,31.00000,33.00000,1142
1,272,0.03359,33.00000,31.00000,1163
1,273,0.03351,30.00000,34.00000,3542
1,274,0.03343,34.00000,30.00000,1226
1,275,0.03336,26.00000,38.00000,1025
1,276,0.03329,29.00000,35.00000,3260
1,277,0.03322,37.00000,27.00000,1562
1,278,0.03314,36.00000,28.00000,1154
1,279,0.03307,26.00000,38.00000,3569
1,280,0.03299,36.00000,28.00000,1146
1,281,0.03292,34.00000,30.00000,1160
1,282,0.03285,34.00000,30.00000,3690
1,283,0.03278,26.00000,38.00000,1017
1,284,0.03271,31.00000,33.00000,1138
1,285,0.03264,30.00000,34.00000,1082
1,286,0.03256,36.00000,28.00000,1156
1,287,0.03249,25.00000,39.00000,1004
1,288,0.03242,30.00000,34.00000,3594
1,289,0.03235,36.00000,28.00000,1150
1,290,0.03229,25.00000,39.00000,995
1,291,0.03222,36.00000,28.00000,1157
1,292,0.03215,34.00000,30.00000,1160
1,293,0.03209,27.00000,37.00000,1422
1,294,0.03202,38.00000,26.00000,3373
1,295,0.03195,34.00000,30.00000,1165
1,296,0.03188,25.00000,39.00000,1002
1,297,0.03181,37.00000,27.00000,1200
1,298,0.03174,37.00000,27.00000,1193
1,299,0.03168,29.00000,35.00000,3629
1,300,0.03161,32.00000,32.00000,1141
1,301,0.03154,34.00000,30.00000,1152
1,302,0.03148,27.00000,37.00000,3591
1,303,0.03141,37.00000,27.00000,1176
1,304,0.03135,29.00000,35.00000,1092
1,305,0.03129,29.00000,35.00000,3620
1,306,0.03122,35.00000,29.00000,1151
1,307,0.03116,37.00000,27.00000,1176
1,308,0.03110,27.00000,37.00000,1056
1,309,0.03104,29.00000,35.00000,1099
1,310,0.03098,31.00000,33.00000,1730
1,311,0.03092,33.00000,31.00000,3063
1,312,0.03086,32.00000,32.00000,1152
1,313,0.03080,33.00000,31.00000,1167
